,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
22,M~S ᯅᯗᯂ᯲,@msimsims,2021-05-26T07:47:08.000Z,"Maaf Pemprov 
@DKIJakarta
 ....
Apakah Jakarta sudah beralih fungsi dan wewenang 
Tidaklah menjadi soal untuk peduli tapi ya... kesejahteraan dan kemakmuran masyarakat DKI loh agenda PEMDA.","Anies: Insya Allah Kemerdekaan Bagi Palestina Jadi Agenda Utama Kita
PRANUSA.ID -- Gubernur DKI Jakarta Anies Baswedan memastikan Indonesia selalu mendoakan rakyat Palestina yang saat ini tengah menghadapi agresi militer Israel. Pernyataan itu disampaikannya dalam...
pranusa.id",🤔 🤔 🤔,,,1,['https://pbs.twimg.com/card_img/1397375430093545473/wRt1Inc3?format=jpg&name=small'],https://twitter.com/msimsims/status/1397459269415432192
23,Jakarta Satu,@jakartasatudki,2021-05-26T07:20:52.000Z,"Cara melihat Peta Persebaran JPO beserta Data Atributnya di Jakarta Satu.

Simak utas berikut ini.
@aniesbaswedan
 @ArizaPatria
@DKIJakarta
 @dcktrp_dki
 @BinaMargaDKI
 @esriindonesia
#PetaPersebaranJPO #DKIJakarta #JakartaSatu #ESRI",,,1,1,,['https://pbs.twimg.com/media/E2S_yMsVUAYapvu?format=jpg&name=small'],https://twitter.com/jakartasatudki/status/1397452660878442497
24,Satpol PP DKI Jakarta,@SatpolPP_DKI,2021-05-26T04:47:54.000Z,"#Kilasgiat Rabu (26/05) Satpol PP DKI Jakarta, Melaksanakan Tugas Jaga Pengendalian Pembatasan Arus Libur Lebaran tahun 2021.
.
.
Lokasi : Posko Cek Point 
Panasonic Jalan Raya Bogor.
.
@aniesbaswedan
@ArizaPatria
@JSCLab
@DKIJakarta
#JAKI 
#DKIJakarta 
AG",,,,,1,"['https://pbs.twimg.com/media/E2Scw_GVoAAiSrf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2ScxfjVoAMXgY6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2ScxRQVIAUVGcV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2ScxwkVEAQuQX8?format=jpg&name=360x360']",https://twitter.com/SatpolPP_DKI/status/1397414165325565955
25,Satpol PP DKI Jakarta,@SatpolPP_DKI,2021-05-26T04:46:26.000Z,"Selamat Merayakan Tri Suci Waisak 2565

Petugas Satpol PP DKI Jakarta sinergi bersama unsur Kepolisian melakukan pengamanan dan pengendalian ketertiban umum di tempat ibadah Vihara
.
@aniesbaswedan
@ArizaPatria
@JSCLab
@DKIJakarta
#JAKI 
#DKIJakarta 
AG",,,1,3,10,"['https://pbs.twimg.com/media/E2SccAoVIAY-UJ4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2SccNEVkAAf2i2?format=jpg&name=360x360']",https://twitter.com/SatpolPP_DKI/status/1397413795387961344
26,ابو ريال,@AbuReal2,2021-05-26T04:33:47.000Z,"Ayo pak,sesekali beri pelajaran thdp mereka yg telah memfitnah BpK!! 
@DKIJakarta
 @aniesbaswedan","Nicho Silalahi, YouTube : Migran TV
@Nicho_Silalahi
 · May 25
Pak Anis Baswedan mau berapa banyak pendukung setia mu terpenjara gara² membelainmu ?

Saat kau difitnah para pendukung mu pasang badan dan menyerang balik para Buzzer jahanam itu, adakah niatmu untuk melaporkan para Buzzer jahanam itu, sedangkan pendukung mu dilaporkan mereka ?",,,,2,['https://pbs.twimg.com/profile_images/1384214201451704325/NI_UvAF7_mini.jpg'],https://twitter.com/AbuReal2/status/1397410613622714371
27,Dinas Sumber Daya Air DKI Jakarta,@DinasSDAJakarta,2021-05-26T04:01:24.000Z,"UPDATE Tinggi Muka Air, Rabu 26 Mei 2021 Pukul 11.00 WIB. 
@aniesbaswedan
@ArizaPatria
@DKIJakarta
@DinasSDAJakarta
@BPBDJakarta
@BeritaJakarta
#PasukanBiru
#PerluTahu
#JAKI
http://facebook.com/DinasSDAProvDKIJkrt/…",,,,,2,['https://pbs.twimg.com/media/E2SSGW9VcAoZjrf?format=jpg&name=small'],https://twitter.com/DinasSDAJakarta/status/1397402462076637184
28,DPW PKB DKI JAKARTA,@DPWPKBJAKARTA,2021-05-26T03:34:50.000Z,"Pernyataan Sekretaris Komisi C DPRD DKI Yusuf, S.I.Kom mengenai Rapat Komisi C 

#Repost 
@fpkbdki
 

@dpp_pkb
 @cakiminow
 @emhasanuddin
 @hasbipkb
  @ahmadruslanpkb
 @Jamaluddin_Lama
 @sutiknopkb
 @DKIJakarta
 @dprddkijakarta
 @aniesbaswedan
 

#PKB","Rapat Komisi C, Bang Yusuf : pemda harus buat terobosan agar peneri...
Selasa 25 Mei 2021 Komisi C DPRD DKI Jakarta melakukan rapat membahas strategi optimalisasi Penerimaan Pajak Daerah 2021 berdasarkan laporan pajak daerah per...
youtube.com",,,1,2,['https://pbs.twimg.com/card_img/1397394978297376771/Np1FQHlJ?format=jpg&name=240x240'],https://twitter.com/DPWPKBJAKARTA/status/1397395780017688577
29,FRAKSI PKB JAKARTA,@fpkbdki,2021-05-26T03:33:09.000Z,"Rapat Komisi C, Bang Yusuf : Pemda harus buat terobosan agar penerimaan pajak capai target.
@DPP_PKB
 @cakimiNOW
 @EmHasanuddin
 @hasbipkb
 @DPWPKBJAKARTA
 @dprddkijakarta
 @DKIJakarta
 @aniesbaswedan
https://youtu.be/4L_fb0jo21s

#PKB","Rapat Komisi C, Bang Yusuf : pemda harus buat terobosan agar peneri...
Selasa 25 Mei 2021 Komisi C DPRD DKI Jakarta melakukan rapat membahas strategi optimalisasi Penerimaan Pajak Daerah 2021 berdasarkan laporan pajak daerah per...
youtube.com",,,,2,['https://pbs.twimg.com/card_img/1397394978297376771/Np1FQHlJ?format=jpg&name=240x240'],https://twitter.com/fpkbdki/status/1397395352811053056
30,Ho'Ba Na Pantun,@Hoba_Na_Pantun,2021-05-26T03:27:23.000Z,"Resapan air hingga ruas jalan dialihfungsikan menjadi tempat usaha.
@aniesbaswedan
 @ArizaPatria
 @DKIJakarta
 @dprddkijakarta
 @SatpolPP_DKI
 @DishubDKI_JKT
 @atcs_jakarta
 @humasparkirdki
 @jakprogroup
 @BinaMargaDKI
 @DinasSDAJakarta
#bangunanliar
#parkirliar","Semrawut !!! Marak Bangli dan Parkir Liar di Komplek Pergudangan Muara Karang - cybernewsnasional...
Jakarta, MCNN – Walaupun sudah pernah digusur, sejumlah bangunan liar (Bangli) di Kawasan Komplek Pergudangan Muara Karang, Kecamatan Penjaringan, Jakarta Utara kembali Selengkapnya
cybernewsnasional.com",,,,,['https://pbs.twimg.com/card_img/1397392600089473024/2ccRvCrL?format=png&name=small'],https://twitter.com/Hoba_Na_Pantun/status/1397393904073207808
31,Senator Indonesia,@DPDRI,2021-05-26T03:17:02.000Z,"Selamat Hari Raya Waisak 26 Mei 2021.

""Waisak Membangkitkan Semangat Persatuan untuk Indonesia Maju""
@jimlyas
@jimlyas
.note
@jimlyschool
@mprgoid
@dpdri
@ypi_alazhar
@icmipusat
@dkijakarta
@dppwalubi01

#dpdri #kabarsenator",,,,1,3,['https://pbs.twimg.com/media/E2SH-2HVcAQwAdn?format=jpg&name=small'],https://twitter.com/DPDRI/status/1397391300563902464
32,Dinas Sumber Daya Air DKI Jakarta,@DinasSDAJakarta,2021-05-26T03:15:56.000Z,"UPDATE Tinggi Muka Air, Rabu 26 Mei 2021 Pukul 10.00 WIB. 
@aniesbaswedan
@ArizaPatria
@DKIJakarta
@DinasSDAJakarta
@BPBDJakarta
@BeritaJakarta
#PasukanBiru
#PerluTahu
#JAKI
http://facebook.com/DinasSDAProvDKIJkrt/…",,,,,1,['https://pbs.twimg.com/media/E2SHuKjVIAMqCak?format=jpg&name=small'],https://twitter.com/DinasSDAJakarta/status/1397391022330580998
33,Bina Marga JakSel,@binamargajaksel,2021-05-26T03:08:02.000Z,"YELLOW SQUAD ‍ Kegiatan SAFETY TALK
Rabu, 26 Mei 2021
@DKIJakarta
 - 
@BinaMargaDKI
@aniesbaswedan
 - 
@ArizaPatria
@HariNugie
 - 
@herusuwondo
#BeritaJakarta  #InfoJakarta #PasukanKuning",,👷,,,,"['https://pbs.twimg.com/media/E2SF5OIVEAIZfRe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2SF5OKUYAAd4Jj?format=jpg&name=360x360']",https://twitter.com/binamargajaksel/status/1397389033207066630
34,Pemprov DKI Jakarta,@DKIJakarta,2021-05-26T03:00:42.000Z,"Selamat Hari Raya Waisak 2565 BE/2021, teman-teman! 

'Waisak Membangkitkan Semangat Persatuan Untuk Indonesia Maju'.

Merepresentasikan semangat, optimisme, kebersamaan. Mari bersama melewati masa pandemi, sama-sama bangkit, sama-sama menang.

#waisak #dkijakarta #kotakolaborasi",,,,3,19,['https://pbs.twimg.com/media/E2SEMnEUUAAZDf8.jpg'],https://twitter.com/DKIJakarta/status/1397387189189701633
35,Dulmogati,@jKrisnayana99,2021-05-26T02:52:35.000Z,"BANGGA PRODUK LOKAL
Namaku BATIK Selalu Punya Cara untuk   Menyesuaikan Pemakainya. KEMEJA BATIK Size M-XXL Rp.180.000,- DM/081249194129 
@OfficialAsoppsi
 @mac4n_utara
 @AjengCute16ID
 @DKIJakarta
  #PewirausahaPemula",,⭐ ⭐,1,21,20,"['https://pbs.twimg.com/media/E2SCXulUUAIdndq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2SCYMNVcAMS0qQ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2SCX9pUcAAbywr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2SCYdgUcAM6AYA?format=jpg&name=360x360']",https://twitter.com/jKrisnayana99/status/1397385143707344905
36,Bina Marga JakSel,@binamargajaksel,2021-05-26T02:38:24.000Z,"SITUASI TERKINI UNDERPASS WILAYAH JAKARTA SELATAN ‍
::Bungur, Kebayoran Lama::
Rabu, 26 Mei 2021, Kondisi Aman Terkendali
@DKIJakarta
 - 
@BinaMargaDKI
@aniesbaswedan
 - 
@ArizaPatria
@HariNugie
 - 
@herusuwondo
#BeritaJakarta  #InfoJakarta #PasukanKuning",,👷,,,,"['https://pbs.twimg.com/media/E2R_A3TVgAEAc9R?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2R_A3SVUAM0LYs?format=jpg&name=360x360']",https://twitter.com/binamargajaksel/status/1397381574677569537
37,Dinas Sumber Daya Air DKI Jakarta,@DinasSDAJakarta,2021-05-26T01:25:07.000Z,"UPDATE Tinggi Muka Air, Rabu 26 Mei 202 Pukul 08.00 WIB. 
@aniesbaswedan
@ArizaPatria
@DKIJakarta
@DinasSDAJakarta
@BPBDJakarta
@BeritaJakarta
#PasukanBiru
#PerluTahu
#JAKI
http://facebook.com/DinasSDAProvDKIJkrt/…",,,,,2,['https://pbs.twimg.com/media/E2RuW2dUcAAkuKn?format=jpg&name=small'],https://twitter.com/DinasSDAJakarta/status/1397363134394896385
